Seed,Team,Winner,Year
1,Ohio State,1,2011
16,UTSA,0,2011
8,George Mason,1,2011
9,Villanova,0,2011
5,West Virginia,1,2011
12,Clemson,0,2011
4,Kentucky,1,2011
13,Princeton,0,2011
6,Xavier,0,2011
11,Marquette,1,2011
3,Syracuse,1,2011
14,Indiana St,0,2011
7,Washington,1,2011
10,Georgia,0,2011
2,North Carolina,1,2011
15,Long Island,0,2011
1,Duke,1,2011
16,Hampton,0,2011
8,Michigan,1,2011
9,Tennessee,0,2011
5,Arizona,1,2011
12,Memphis,0,2011
4,Texas,1,2011
13,Oakland,0,2011
6,Cincinnati,1,2011
11,Missouri,0,2011
3,UConn,1,2011
14,Bucknell,0,2011
7,Temple,1,2011
10,Penn State,0,2011
2,San Diego St,1,2011
15,N Colorado,0,2011
1,Kansas,1,2011
16,Boston U,0,2011
8,UNLV,0,2011
9,Illinois,1,2011
5,Vanderbilt,0,2011
12,Richmond,1,2011
4,Louisville,0,2011
13,Morehead St,1,2011
6,Georgetown,0,2011
11,VCU,1,2011
3,Purdue,1,2011
14,Saint Peter's,0,2011
7,Texas A&M,0,2011
10,Florida St,1,2011
2,Notre Dame,1,2011
15,Akron,0,2011
1,Pitt,1,2011
16,UNC Asheville,0,2011
8,Butler,1,2011
9,Old Dominion,0,2011
5,Kansas St,1,2011
12,Utah State,0,2011
4,Wisconsin,1,2011
13,Belmont,0,2011
6,St John's,0,2011
11,Gonzaga,1,2011
3,BYU,1,2011
14,Wofford,0,2011
7,UCLA,1,2011
10,Michigan St,0,2011
2,Florida,1,2011
15,Santa Barbara,0,2011
1,Ohio State,1,2011
8,George Mason,0,2011
5,West Virginia,0,2011
4,Kentucky,1,2011
11,Marquette,1,2011
3,Syracuse,0,2011
7,Washington,0,2011
2,North Carolina,1,2011
1,Duke,1,2011
8,Michigan,0,2011
5,Arizona,1,2011
4,Texas,0,2011
6,Cincinnati,0,2011
3,UConn,1,2011
7,Temple,0,2011
2,San Diego St,1,2011
1,Kansas,1,2011
9,Illinois,0,2011
12,Richmond,1,2011
13,Morehead St,0,2011
11,VCU,1,2011
3,Purdue,0,2011
10,Florida St,1,2011
2,Notre Dame,0,2011
1,Pitt,0,2011
8,Butler,1,2011
5,Kansas St,0,2011
4,Wisconsin,1,2011
11,Gonzaga,0,2011
3,BYU,1,2011
7,UCLA,0,2011
2,Florida,1,2011
1,Ohio State,0,2011
4,Kentucky,1,2011
11,Marquette,0,2011
2,North Carolina,1,2011
1,Duke,0,2011
5,Arizona,1,2011
3,UConn,1,2011
2,San Diego St,0,2011
1,Kansas,1,2011
12,Richmond,0,2011
11,VCU,1,2011
10,Florida St,0,2011
8,Butler,1,2011
4,Wisconsin,0,2011
3,BYU,0,2011
2,Florida,1,2011
4,Kentucky,1,2011
2,North Carolina,0,2011
5,Arizona,0,2011
3,UConn,1,2011
1,Kansas,0,2011
11,VCU,1,2011
8,Butler,1,2011
2,Florida,0,2011
4,Kentucky,0,2011
3,UConn,1,2011
11,VCU,0,2011
8,Butler,1,2011
3,UConn,1,2011
8,Butler,0,2011
3,UConn,,2011
1,Kentucky,1,2012
16,Western KY,0,2012
8,Iowa State,1,2012
9,UConn,0,2012
5,Wichita St,0,2012
12,VCU,1,2012
4,Indiana,1,2012
13,New Mexico St,0,2012
6,UNLV,0,2012
11,Colorado,1,2012
3,Baylor,1,2012
14,S Dakota St,0,2012
7,Notre Dame,0,2012
10,Xavier,1,2012
2,Duke,0,2012
15,Lehigh,1,2012
1,Michigan St,1,2012
16,Long Island,0,2012
8,Memphis,0,2012
9,Saint Louis,1,2012
5,New Mexico,1,2012
12,Long Beach St,0,2012
4,Louisville,1,2012
13,Davidson,0,2012
6,Murray St,1,2012
11,Colorado St,0,2012
3,Marquette,1,2012
14,BYU,0,2012
7,Florida,1,2012
10,Virginia,0,2012
2,Missouri,0,2012
15,Norfolk St,1,2012
1,Syracuse,1,2012
16,UNC Asheville,0,2012
8,Kansas St,1,2012
9,Southern Miss,0,2012
5,Vanderbilt,1,2012
12,Harvard,0,2012
4,Wisconsin,1,2012
13,Montana,0,2012
6,Cincinnati,1,2012
11,Texas,0,2012
3,Florida St,1,2012
14,St Bonaventure,0,2012
7,Gonzaga,1,2012
10,West Virginia,0,2012
2,Ohio State,1,2012
15,Loyola MD,0,2012
1,North Carolina,1,2012
16,Vermont,0,2012
8,Creighton,1,2012
9,Alabama,0,2012
5,Temple,0,2012
12,South Florida,1,2012
4,Michigan,0,2012
13,Ohio,1,2012
6,San Diego St,0,2012
11,NC State,1,2012
3,Georgetown,1,2012
14,Belmont,0,2012
7,Saint Mary's,0,2012
10,Purdue,1,2012
2,Kansas,1,2012
15,Detroit Mercy,0,2012
1,Kentucky,1,2012
8,Iowa State,0,2012
12,VCU,0,2012
4,Indiana,1,2012
11,Colorado,0,2012
3,Baylor,1,2012
10,Xavier,1,2012
15,Lehigh,0,2012
1,Michigan St,1,2012
9,Saint Louis,0,2012
5,New Mexico,0,2012
4,Louisville,1,2012
6,Murray St,0,2012
3,Marquette,1,2012
7,Florida,1,2012
15,Norfolk St,0,2012
1,Syracuse,1,2012
8,Kansas St,0,2012
5,Vanderbilt,0,2012
4,Wisconsin,1,2012
6,Cincinnati,1,2012
3,Florida St,0,2012
7,Gonzaga,0,2012
2,Ohio State,1,2012
1,North Carolina,1,2012
8,Creighton,0,2012
12,South Florida,0,2012
13,Ohio,1,2012
11,NC State,1,2012
3,Georgetown,0,2012
10,Purdue,0,2012
2,Kansas,1,2012
1,Kentucky,1,2012
4,Indiana,0,2012
3,Baylor,1,2012
10,Xavier,0,2012
1,Michigan St,0,2012
4,Louisville,1,2012
3,Marquette,0,2012
7,Florida,1,2012
1,Syracuse,1,2012
4,Wisconsin,0,2012
6,Cincinnati,0,2012
2,Ohio State,1,2012
1,North Carolina,1,2012
13,Ohio,0,2012
11,NC State,0,2012
2,Kansas,1,2012
1,Kentucky,1,2012
3,Baylor,0,2012
4,Louisville,1,2012
7,Florida,0,2012
1,Syracuse,0,2012
2,Ohio State,1,2012
1,North Carolina,0,2012
2,Kansas,1,2012
1,Kentucky,1,2012
4,Louisville,0,2012
2,Ohio State,0,2012
2,Kansas,1,2012
1,Kentucky,1,2012
2,Kansas,0,2012
1,Kentucky,,2012
1,Louisville,1,2013
16,NC A&T,0,2013
8,Colorado St,1,2013
9,Missouri,0,2013
5,Oklahoma St,0,2013
12,Oregon,1,2013
4,Saint Louis,1,2013
