Seed1,Team1,Team1_id,Seed2,Team2,Team2_id,Winner,Winner_id,Year
1,Ohio State,194,16,UTSA,2636,1,194,2011
8,George Mason,2244,9,Villanova,222,1,2244,2011
5,West Virginia,277,12,Clemson,228,1,277,2011
4,Kentucky,96,13,Princeton,163,1,96,2011
6,Xavier,2752,11,Marquette,269,0,269,2011
3,Syracuse,183,14,Indiana St,282,1,183,2011
7,Washington,264,10,Georgia,61,1,264,2011
2,North Carolina,153,15,Long Island,112358,1,153,2011
1,Duke,150,16,Hampton,2261,1,150,2011
8,Michigan,130,9,Tennessee,2633,1,130,2011
5,Arizona,12,12,Memphis,235,1,12,2011
4,Texas,251,13,Oakland,2473,1,251,2011
6,Cincinnati,2132,11,Missouri,142,1,2132,2011
3,UConn,41,14,Bucknell,2083,1,41,2011
7,Temple,218,10,Penn State,213,1,218,2011
2,San Diego St,21,15,N Colorado,2458,1,21,2011
1,Kansas,2305,16,Boston U,104,1,2305,2011
8,UNLV,2439,9,Illinois,356,0,356,2011
5,Vanderbilt,238,12,Richmond,257,0,257,2011
4,Louisville,97,13,Morehead St,2413,0,2413,2011
6,Georgetown,46,11,VCU,2670,0,2670,2011
3,Purdue,2509,14,Saint Peter's,2612,1,2509,2011
7,Texas A&M,245,10,Florida St,52,0,52,2011
2,Notre Dame,87,15,Akron,2006,1,87,2011
1,Pitt,221,16,UNC Asheville,2427,1,221,2011
8,Butler,2086,9,Old Dominion,295,1,2086,2011
5,Kansas St,2306,12,Utah State,328,1,2306,2011
4,Wisconsin,275,13,Belmont,2057,1,275,2011
6,St John's,2599,11,Gonzaga,2250,0,2250,2011
3,BYU,252,14,Wofford,2747,1,252,2011
7,UCLA,26,10,Michigan St,127,1,26,2011
2,Florida,57,15,Santa Barbara,2540,1,57,2011
1,Ohio State,194,8,George Mason,2244,1,194,2011
5,West Virginia,277,4,Kentucky,96,0,96,2011
11,Marquette,269,3,Syracuse,183,1,269,2011
7,Washington,264,2,North Carolina,153,0,153,2011
1,Duke,150,8,Michigan,130,1,150,2011
5,Arizona,12,4,Texas,251,1,12,2011
6,Cincinnati,2132,3,UConn,41,0,41,2011
7,Temple,218,2,San Diego St,21,0,21,2011
1,Kansas,2305,9,Illinois,356,1,2305,2011
12,Richmond,257,13,Morehead St,2413,1,257,2011
11,VCU,2670,3,Purdue,2509,1,2670,2011
10,Florida St,52,2,Notre Dame,87,1,52,2011
1,Pitt,221,8,Butler,2086,0,2086,2011
5,Kansas St,2306,4,Wisconsin,275,0,275,2011
11,Gonzaga,2250,3,BYU,252,0,252,2011
7,UCLA,26,2,Florida,57,0,57,2011
1,Ohio State,194,4,Kentucky,96,0,96,2011
11,Marquette,269,2,North Carolina,153,0,153,2011
1,Duke,150,5,Arizona,12,0,12,2011
3,UConn,41,2,San Diego St,21,1,41,2011
1,Kansas,2305,12,Richmond,257,1,2305,2011
11,VCU,2670,10,Florida St,52,1,2670,2011
8,Butler,2086,4,Wisconsin,275,1,2086,2011
3,BYU,252,2,Florida,57,0,57,2011
4,Kentucky,96,2,North Carolina,153,1,96,2011
5,Arizona,12,3,UConn,41,0,41,2011
1,Kansas,2305,11,VCU,2670,0,2670,2011
8,Butler,2086,2,Florida,57,1,2086,2011
4,Kentucky,96,3,UConn,41,0,41,2011
11,VCU,2670,8,Butler,2086,0,2086,2011
3,UConn,41,8,Butler,2086,1,41,2011
1,Kentucky,96,16,Western KY,98,1,96,2012
8,Iowa State,66,9,UConn,41,1,66,2012
5,Wichita St,2724,12,VCU,2670,0,2670,2012
4,Indiana,84,13,New Mexico St,166,1,84,2012
6,UNLV,2439,11,Colorado,38,0,38,2012
3,Baylor,239,14,S Dakota St,2571,1,239,2012
7,Notre Dame,87,10,Xavier,2752,0,2752,2012
2,Duke,150,15,Lehigh,2329,0,2329,2012
1,Michigan St,127,16,Long Island,112358,1,127,2012
8,Memphis,235,9,Saint Louis,139,0,139,2012
5,New Mexico,167,12,Long Beach St,299,1,167,2012
4,Louisville,97,13,Davidson,2166,1,97,2012
6,Murray St,93,11,Colorado St,36,1,93,2012
3,Marquette,269,14,BYU,252,1,269,2012
7,Florida,57,10,Virginia,258,1,57,2012
2,Missouri,142,15,Norfolk St,2450,0,2450,2012
1,Syracuse,183,16,UNC Asheville,2427,1,183,2012
8,Kansas St,2306,9,Southern Miss,2572,1,2306,2012
5,Vanderbilt,238,12,Harvard,108,1,238,2012
4,Wisconsin,275,13,Montana,149,1,275,2012
6,Cincinnati,2132,11,Texas,251,1,2132,2012
3,Florida St,52,14,St Bonaventure,179,1,52,2012
7,Gonzaga,2250,10,West Virginia,277,1,2250,2012
2,Ohio State,194,15,Loyola MD,2352,1,194,2012
1,North Carolina,153,16,Vermont,261,1,153,2012
8,Creighton,156,9,Alabama,333,1,156,2012
5,Temple,218,12,South Florida,58,0,58,2012
4,Michigan,130,13,Ohio,195,0,195,2012
6,San Diego St,21,11,NC State,152,0,152,2012
3,Georgetown,46,14,Belmont,2057,1,46,2012
7,Saint Mary's,2608,10,Purdue,2509,0,2509,2012
2,Kansas,2305,15,Detroit Mercy,2174,1,2305,2012
1,Kentucky,96,8,Iowa State,66,1,96,2012
12,VCU,2670,4,Indiana,84,0,84,2012
11,Colorado,38,3,Baylor,239,0,239,2012
10,Xavier,2752,15,Lehigh,2329,1,2752,2012
1,Michigan St,127,9,Saint Louis,139,1,127,2012
5,New Mexico,167,4,Louisville,97,0,97,2012
6,Murray St,93,3,Marquette,269,0,269,2012
7,Florida,57,15,Norfolk St,2450,1,57,2012
1,Syracuse,183,8,Kansas St,2306,1,183,2012
5,Vanderbilt,238,4,Wisconsin,275,0,275,2012
6,Cincinnati,2132,3,Florida St,52,1,2132,2012
7,Gonzaga,2250,2,Ohio State,194,0,194,2012
1,North Carolina,153,8,Creighton,156,1,153,2012
12,South Florida,58,13,Ohio,195,0,195,2012
11,NC State,152,3,Georgetown,46,1,152,2012
10,Purdue,2509,2,Kansas,2305,0,2305,2012
1,Kentucky,96,4,Indiana,84,1,96,2012
3,Baylor,239,10,Xavier,2752,1,239,2012
1,Michigan St,127,4,Louisville,97,0,97,2012
3,Marquette,269,7,Florida,57,0,57,2012
1,Syracuse,183,4,Wisconsin,275,1,183,2012
6,Cincinnati,2132,2,Ohio State,194,0,194,2012
1,North Carolina,153,13,Ohio,195,1,153,2012
11,NC State,152,2,Kansas,2305,0,2305,2012
1,Kentucky,96,3,Baylor,239,1,96,2012
4,Louisville,97,7,Florida,57,1,97,2012
1,Syracuse,183,2,Ohio State,194,0,194,2012
1,North Carolina,153,2,Kansas,2305,0,2305,2012
1,Kentucky,96,4,Louisville,97,1,96,2012
2,Ohio State,194,2,Kansas,2305,0,2305,2012
1,Kentucky,96,2,Kansas,2305,1,96,2012
1,Louisville,97,16,NC A&T,2448,1,97,2013
8,Colorado St,36,9,Missouri,142,1,36,2013
5,Oklahoma St,197,12,Oregon,2483,0,2483,2013
4,Saint Louis,139,13,New Mexico St,166,1,139,2013
6,Memphis,235,11,Saint Mary's,2608,1,235,2013
3,Michigan St,127,14,Valparaiso,2674,1,127,2013
7,Creighton,156,10,Cincinnati,2132,1,156,2013
2,Duke,150,15,UAlbany,399,1,150,2013
1,Gonzaga,2250,16,Southern,2582,1,2250,2013
8,Pitt,221,9,Wichita St,2724,0,2724,2013
5,Wisconsin,275,12,Ole Miss,145,0,145,2013
4,Kansas St,2306,13,La Salle,2325,0,2325,2013
6,Arizona,12,11,Belmont,2057,1,12,2013
3,New Mexico,167,14,Harvard,108,0,108,2013
7,Notre Dame,87,10,Iowa State,66,0,66,2013
2,Ohio State,194,15,Iona,314,1,194,2013
1,Kansas,2305,16,Western KY,98,1,2305,2013
8,North Carolina,153,9,Villanova,222,1,153,2013
5,VCU,2670,12,Akron,2006,1,2670,2013
4,Michigan,130,13,S Dakota St,2571,1,130,2013
6,UCLA,26,11,Minnesota,135,0,135,2013
3,Florida,57,14,N'Western St,2466,1,57,2013
