G,Date,Away,Opp,W/L,Tm,Opp2,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,ORB%,OFT/FGA,DeFG%,DTOV%,DRB%,DFT/FGA,Year,ID
1,2022-11-07,H,Southern Indiana,W,97,91,115.5,108.3,83.9,0.384,0.384,0.562,55.1,57.1,14.3,13.3,0.527,11.3,37.8,0.274,0.608,22.7,75.0,0.3,2023,142
1,2022-11-07,H,Southern Indiana,W,97,91,115.5,108.3,83.9,0.384,0.384,0.562,55.1,57.1,14.3,13.3,0.527,11.3,37.8,0.274,0.608,22.7,75.0,0.3,2023,142
2,2022-11-11,H,Penn,W,92,85,129.6,119.7,71.3,0.426,0.574,0.627,45.5,71.4,21.1,0.0,0.59,10.9,36.7,0.328,0.627,21.9,56.0,0.186,2023,142
3,2022-11-13,H,Lindenwood,W,82,53,110.8,71.6,74.4,0.127,0.429,0.614,57.6,70.6,9.5,12.5,0.603,19.3,32.1,0.095,0.313,20.3,76.3,0.321,2023,142
4,2022-11-15,H,SIU-Edwardsville,W,105,80,131.3,100.0,79.9,0.181,0.306,0.672,50.0,51.2,18.8,8.1,0.66,16.1,41.9,0.139,0.431,21.1,57.1,0.517,2023,142
5,2022-11-20,H,Mississippi Valley State,W,83,62,110.7,82.7,74.9,0.156,0.469,0.604,46.8,65.6,21.3,20.0,0.578,15.9,29.0,0.141,0.424,25.0,64.5,0.203,2023,142
6,2022-11-23,H,Coastal Carolina,W,89,51,111.3,63.8,80.2,0.107,0.44,0.565,49.4,77.1,20.0,15.8,0.547,10.3,28.2,0.093,0.295,28.2,70.0,0.246,2023,142
7,2022-11-26,H,Houston Christian,W,105,69,141.9,93.2,74.1,0.149,0.373,0.732,48.1,67.4,21.6,16.1,0.724,12.2,33.3,0.119,0.491,24.3,60.0,0.25,2023,142
8,2022-11-29,A,Wichita State,W (1 OT),88,84,107.3,102.4,73.2,0.269,0.423,0.5,50.0,42.4,19.5,6.3,0.468,7.4,28.3,0.192,0.639,22.8,83.3,0.098,2023,142
9,2022-12-04,H,Southeast Missouri State,W,96,89,121.5,112.7,79.0,0.377,0.443,0.667,52.8,50.0,17.7,2.7,0.648,15.3,29.2,0.279,0.643,20.4,72.4,0.127,2023,142
10,2022-12-10,H,Kansas,L,67,95,87.0,123.4,77.5,0.404,0.351,0.493,46.0,34.8,6.5,5.1,0.456,23.6,27.0,0.263,0.656,15.7,73.1,0.246,2023,142
11,2022-12-17,N,UCF,W,68,66,107.9,104.8,62.7,0.283,0.543,0.652,46.8,65.2,12.7,12.5,0.641,22.3,20.0,0.196,0.548,16.9,66.7,0.173,2023,142
12,2022-12-22,N,Illinois,W,93,71,134.8,102.9,69.3,0.305,0.339,0.688,40.7,65.7,18.8,6.5,0.678,12.9,32.0,0.22,0.46,18.4,47.1,0.226,2023,142
13,2022-12-28,H,Kentucky,W,89,75,127.1,107.1,69.9,0.491,0.439,0.633,37.9,64.3,12.9,12.1,0.579,9.1,20.7,0.404,0.536,17.2,55.2,0.268,2023,142
14,2023-01-04,A,Arkansas,L,68,74,103.0,112.1,66.5,0.389,0.352,0.531,37.3,50.0,10.6,6.1,0.5,12.3,25.0,0.259,0.537,19.8,51.9,0.296,2023,142
15,2023-01-07,H,Vanderbilt,W,85,82,118.1,113.9,72.2,0.544,0.456,0.593,36.8,66.7,11.1,7.3,0.509,5.3,12.1,0.474,0.544,15.0,60.0,0.118,2023,142
16,2023-01-11,A,Texas A&M,L,64,82,90.1,115.5,70.6,0.356,0.525,0.464,33.9,52.4,12.7,4.5,0.415,11.5,13.9,0.254,0.644,23.0,61.5,0.533,2023,142
17,2023-01-14,A,Florida,L,64,73,88.9,101.4,72.1,0.25,0.3,0.477,49.2,36.0,16.7,7.1,0.442,17.3,26.7,0.183,0.569,22.8,72.4,0.294,2023,142
18,2023-01-18,H,Arkansas,W,79,76,109.7,105.6,72.2,0.816,0.408,0.581,32.1,36.4,18.1,6.1,0.5,13.9,20.6,0.612,0.53,25.2,50.0,0.46,2023,142
19,2023-01-21,H,Alabama,L,64,85,81.0,107.6,78.6,0.271,0.4,0.405,46.6,30.4,7.6,24.2,0.35,10.2,25.5,0.214,0.441,10.7,70.7,0.368,2023,142
20,2023-01-24,A,Ole Miss,W,89,77,127.1,110.0,70.4,0.232,0.536,0.716,40.7,67.7,15.7,0.0,0.696,12.6,13.6,0.196,0.525,18.7,59.4,0.213,2023,142
21,2023-01-28,H,Iowa State,W,78,61,116.4,91.0,66.7,0.264,0.566,0.654,45.5,53.8,11.9,4.7,0.623,16.7,26.9,0.226,0.5,22.6,62.1,0.052,2023,142
22,2023-02-01,H,LSU,W,87,77,122.5,108.5,71.4,0.203,0.458,0.672,48.4,78.8,8.5,12.1,0.669,12.2,16.7,0.136,0.492,12.9,68.4,0.182,2023,142
22,2023-02-01,H,LSU,W,87,77,122.5,108.5,71.4,0.203,0.458,0.672,48.4,78.8,8.5,12.1,0.669,12.2,16.7,0.136,0.492,12.9,68.4,0.182,2023,142
23,2023-02-04,A,Mississippi State,L,52,63,80.0,96.9,65.4,0.42,0.46,0.434,47.8,62.5,6.2,3.3,0.38,20.0,23.5,0.28,0.45,15.1,72.7,0.36,2023,142
23,2023-02-04,A,Mississippi State,L,52,63,80.0,96.9,65.4,0.42,0.46,0.434,47.8,62.5,6.2,3.3,0.38,20.0,23.5,0.28,0.45,15.1,72.7,0.36,2023,142
24,2023-02-07,H,South Carolina,W,83,74,133.9,119.4,62.8,0.396,0.472,0.659,48.1,63.0,14.5,4.0,0.623,11.3,36.0,0.321,0.61,18.9,59.3,0.26,2023,142
25,2023-02-11,A,Tennessee,W,86,85,132.3,130.8,65.4,0.298,0.456,0.661,39.3,50.0,13.8,8.0,0.649,9.7,23.1,0.211,0.566,12.7,53.3,0.472,2023,142
26,2023-02-14,A,Auburn,L,56,89,75.7,120.3,74.0,0.316,0.386,0.427,34.2,55.6,8.1,8.3,0.36,18.6,17.9,0.263,0.553,16.6,52.9,0.242,2023,142
