Years,Wins,Qual,SOS,TApp,Year,id
25.0,857.0,8.234,2.32,21.0,2011,41
4.0,117.0,12.242,3.702,3.0,2011,2086
2.0,509.0,14.973,5.159,12.0,2011,96
2.0,55.0,9.395,2.21,0.0,2011,2670
31.0,900.0,17.707,7.438,26.0,2011,150
8.0,444.0,14.263,5.177,12.0,2011,2305
7.0,292.0,16.244,6.512,8.0,2011,194
8.0,216.0,17.255,7.431,7.0,2011,221
1.0,189.0,5.044,0.147,3.0,2011,228
5.0,222.0,10.659,6.685,4.0,2011,5
5.0,78.0,-7.854,-4.312,0.0,2011,2636
6.0,97.0,-12.087,-11.058,1.0,2011,2011
14.0,442.0,2.566,-0.121,4.0,2011,2244
10.0,346.0,7.436,2.82,8.0,2011,222
4.0,619.0,14.653,4.748,18.0,2011,277
4.0,66.0,-3.888,-4.72,0.0,2011,163
2.0,50.0,14.055,5.175,1.0,2011,2752
3.0,83.0,9.315,4.748,2.0,2011,269
35.0,856.0,15.364,6.603,27.0,2011,183
1.0,20.0,3.41,2.9,0.0,2011,282
9.0,288.0,10.109,5.919,6.0,2011,264
2.0,158.0,7.993,3.119,3.0,2011,61
8.0,643.0,21.853,9.277,20.0,2011,153
9.0,125.0,-9.658,-7.528,0.0,2011,112358
15.0,245.0,-9.344,-4.148,1.0,2011,2427
8.0,132.0,-4.29,-3.12,0.0,2011,2031
10.0,356.0,3.75,-1.31,5.0,2011,295
4.0,95.0,15.61,7.93,2.0,2011,2306
13.0,542.0,5.192,0.047,8.0,2011,328
10.0,272.0,14.114,6.925,9.0,2011,275
12.0,220.0,-2.064,-4.193,3.0,2011,2057
1.0,166.0,13.74,10.375,6.0,2011,2599
12.0,316.0,14.212,3.293,11.0,2011,2250
6.0,159.0,13.83,3.563,4.0,2011,252
9.0,137.0,-5.016,-2.627,1.0,2011,2747
8.0,355.0,8.847,4.082,8.0,2011,26
16.0,383.0,16.598,9.019,13.0,2011,127
15.0,395.0,14.769,5.439,10.0,2011,57
13.0,217.0,-0.004,-1.233,2.0,2011,2540
2.0,206.0,7.936,6.466,3.0,2011,30
2.0,42.0,-0.955,-3.54,0.0,2011,104
7.0,479.0,9.564,6.401,12.0,2011,2439
8.0,296.0,12.433,6.222,7.0,2011,356
12.0,359.0,9.789,5.838,6.0,2011,238
6.0,130.0,2.864,2.077,1.0,2011,257
10.0,599.0,14.705,5.458,15.0,2011,97
5.0,96.0,-3.642,-4.726,1.0,2011,2413
7.0,228.0,9.801,4.626,6.0,2011,46
6.0,163.0,13.169,6.959,5.0,2011,2509
5.0,58.0,-7.026,-3.802,0.0,2011,2612
4.0,250.0,5.566,2.621,4.0,2011,245
9.0,376.0,8.638,7.107,5.0,2011,52
11.0,337.0,9.758,3.216,8.0,2011,87
7.0,182.0,2.41,-0.572,1.0,2011,2006
2.0,38.0,-5.975,-8.565,0.0,2011,2261
4.0,360.0,6.057,3.245,5.0,2011,130
6.0,231.0,11.772,5.328,7.0,2011,2633
2.0,166.0,12.484,4.784,4.0,2011,12
2.0,49.0,9.325,3.395,0.0,2011,235
13.0,524.0,15.114,7.618,18.0,2011,251
12.0,206.0,-1.336,-1.401,2.0,2011,2473
5.0,156.0,6.695,3.134,2.0,2011,2132
5.0,200.0,12.628,5.259,5.0,2011,142
3.0,46.0,-5.713,-4.943,0.0,2011,2083
5.0,420.0,4.035,-1.691,12.0,2011,218
8.0,219.0,-0.774,1.252,1.0,2011,213
12.0,416.0,10.947,7.095,10.0,2011,21
1.0,21.0,1.39,-2.24,0.0,2011,2458
3.0,547.0,15.461,5.297,13.0,2012,96
9.0,476.0,14.656,5.427,13.0,2012,2305
11.0,629.0,14.76,5.59,16.0,2012,97
8.0,323.0,16.886,6.725,9.0,2012,194
17.0,412.0,16.875,9.066,14.0,2012,127
9.0,675.0,21.831,9.185,21.0,2012,153
36.0,890.0,15.524,6.642,28.0,2012,183
16.0,269.0,-8.692,-4.073,2.0,2012,2427
5.0,117.0,15.382,7.85,3.0,2012,2306
8.0,402.0,4.024,1.653,3.0,2012,2572
13.0,384.0,10.101,5.954,7.0,2012,238
5.0,268.0,5.419,3.501,2.0,2012,108
11.0,298.0,14.493,7.026,10.0,2012,275
6.0,116.0,-0.307,-3.212,1.0,2012,149
6.0,182.0,7.388,3.483,3.0,2012,2132
14.0,544.0,15.07,7.638,19.0,2012,251
10.0,401.0,8.883,7.128,6.0,2012,52
5.0,156.0,-5.228,-3.649,0.0,2012,179
13.0,342.0,14.185,3.29,12.0,2012,2250
5.0,638.0,14.559,4.851,19.0,2012,277
8.0,122.0,-4.82,-3.38,0.0,2012,2352
5.0,185.0,8.726,6.783,3.0,2012,58
4.0,634.0,11.587,5.235,14.0,2012,25
1.0,24.0,0.98,-5.19,0.0,2012,261
1.0,73.0,5.358,5.308,0.0,2012,2320
2.0,201.0,5.627,4.366,3.0,2012,156
3.0,139.0,9.928,2.593,2.0,2012,333
6.0,444.0,4.313,-1.403,13.0,2012,218
5.0,384.0,6.414,3.532,6.0,2012,130
4.0,85.0,2.69,-0.568,1.0,2012,195
