Off Eff,Def Eff,Bart,Eff Ofg,Eff Dfg,TurnO,TurnD,RebO,RebD,FT%O,FT%D,2%O,2%D,3%O,3%D,3PRO,3PRD,AdjT,WAB,Team_ID,Year
126.0,91.8,0.9742,56.3,48.3,15.8,23.2,35.7,28.4,37.1,20.6,52.9,46.9,42.3,34.0,32.7,34.6,63.8,11.7,194,2011
120.9,91.0,0.9633,57.0,44.5,19.1,20.1,36.7,27.9,39.3,31.9,56.8,44.5,38.2,29.8,32.4,34.6,68.0,10.2,2305,2011
120.6,91.5,0.96,53.7,44.5,17.2,21.0,35.1,33.2,37.4,29.6,52.5,43.1,37.4,32.4,35.3,24.5,68.5,9.3,150,2011
115.5,90.0,0.946,50.2,42.5,17.3,18.8,38.2,30.6,43.1,30.7,48.1,41.9,37.6,29.5,25.5,26.1,65.5,5.4,251,2011
119.3,93.4,0.9437,52.3,44.2,16.1,18.2,34.3,30.7,36.1,30.1,48.8,42.4,39.7,32.4,32.4,29.7,64.8,5.2,96,2011
119.8,94.1,0.9413,52.9,45.1,18.4,17.5,42.9,28.6,43.1,32.3,50.5,43.2,39.5,32.6,27.4,33.0,62.2,7.5,221,2011
123.1,97.8,0.9333,51.8,48.2,13.1,16.8,33.8,27.1,29.5,32.9,48.9,45.2,37.4,37.0,41.2,29.4,56.5,5.6,275,2011
123.1,98.1,0.9317,53.5,46.7,16.4,15.8,33.4,29.5,45.1,25.6,50.7,43.6,38.6,35.3,38.6,33.2,63.0,7.7,87,2011
115.2,92.0,0.9296,50.7,46.0,15.7,21.2,32.4,29.7,34.4,30.4,48.8,44.9,36.4,32.6,33.0,27.9,65.6,7.0,2509,2011
113.7,90.9,0.929,50.5,44.1,16.9,19.4,37.5,29.8,31.1,28.0,50.2,42.7,34.2,31.6,30.0,29.6,62.2,8.7,21,2011
112.7,90.7,0.9242,49.1,46.2,18.3,19.6,37.1,30.1,37.9,24.8,49.1,44.4,32.8,33.1,25.0,34.5,70.4,7.3,153,2011
114.9,92.5,0.9232,52.9,45.7,19.2,18.3,31.7,31.5,28.2,32.7,50.5,45.7,38.7,30.5,31.4,34.8,65.2,1.4,356,2011
115.8,93.6,0.9201,48.2,44.5,17.1,17.4,38.7,34.1,33.8,26.8,47.7,42.4,32.9,32.7,29.3,32.2,64.2,6.8,41,2011
111.8,90.6,0.9182,52.6,44.5,19.0,23.4,34.8,35.2,29.9,39.8,51.5,43.4,36.2,31.1,40.7,33.0,66.6,4.6,97,2011
