AdjEM,AdjO,AdjD,AdjT,Luck,SoS,OppO,OppD,NSoS,Year,Team_ID
33.29,121.0,87.7,64.7,0.009,11.53,107.9,96.4,2.5,2010,150
31.85,120.4,88.5,67.2,0.038,9.53,108.2,98.7,1.13,2010,2305
27.62,118.5,90.9,68.7,-0.008,8.62,108.5,99.8,-2.96,2010,183
26.54,114.9,88.3,68.3,0.06,7.06,106.5,99.5,-1.28,2010,96
25.54,117.2,91.7,62.6,0.057,12.58,110.0,97.5,5.45,2010,277
25.52,116.1,90.6,69.4,-0.008,11.99,109.5,97.5,2.37,2010,2306
24.99,117.5,92.5,64.6,0.007,7.88,106.3,98.4,-2.92,2010,194
24.95,119.2,94.3,64.5,-0.021,10.59,108.3,97.7,-2.79,2010,239
23.56,115.2,91.6,59.2,-0.013,8.69,107.9,99.2,1.01,2010,275
23.27,117.3,94.0,71.1,0.012,3.88,104.9,101.0,-0.03,2010,252
22.64,116.8,94.2,65.8,-0.035,11.55,109.0,97.4,3.35,2010,46
22.45,111.0,88.5,63.0,0.032,6.85,106.7,99.9,11.11,2010,2086
22.37,118.3,95.9,68.7,-0.023,8.87,106.7,97.8,-4.35,2010,120
22.15,119.6,97.4,67.1,-0.043,9.03,106.5,97.5,8.46,2010,25
22.05,109.8,87.7,66.2,0.07,8.81,107.8,99.0,-1.26,2010,2509
21.33,112.6,91.2,64.3,-0.005,11.51,109.4,97.9,0.15,2010,245
21.24,117.2,96.0,71.2,0.025,10.03,108.7,98.7,-0.91,2010,222
20.87,115.5,94.6,68.9,0.01,8.04,106.2,98.2,7.27,2010,2752
20.75,113.9,93.1,71.5,-0.014,9.01,107.2,98.2,-1.32,2010,251
20.13,112.8,92.7,65.3,0.027,9.03,107.5,98.5,-0.94,2010,127
20.12,107.8,87.7,60.4,0.076,6.07,106.4,100.3,5.68,2010,218
19.99,111.5,91.5,68.8,-0.035,8.17,107.1,98.9,-6.1,2010,142
19.9,116.0,96.1,59.8,-0.026,1.81,105.0,103.2,0.16,2010,328
19.65,115.1,95.5,62.3,-0.064,9.05,108.0,98.9,-6.52,2010,269
19.28,110.9,91.6,67.6,-0.041,8.76,106.3,97.6,-2.85,2010,228
18.92,108.1,89.1,65.5,-0.097,6.43,105.8,99.3,3.5,2010,2168
18.87,109.6,90.8,58.9,0.034,4.08,105.7,101.6,-1.58,2010,2460
18.66,111.4,92.8,61.3,0.041,7.87,107.7,99.8,-2.76,2010,221
18.59,116.5,97.9,66.2,0.038,2.72,105.4,102.7,1.18,2010,2608
