Seed1,Team1,Team1_id,Score1,Seed2,Team2,Team2_id,Score2,Winner,Winner_id,Year
16,UTSA,2636,46.0,1,Ohio State,194,75.0,0,194,2011
9,Villanova,222,57.0,8,George Mason,2244,61.0,0,2244,2011
12,Clemson,228,76.0,5,West Virginia,277,84.0,0,277,2011
13,Princeton,163,57.0,4,Kentucky,96,59.0,0,96,2011
11,Marquette,269,66.0,6,Xavier,2752,55.0,1,269,2011
14,Indiana St,282,60.0,3,Syracuse,183,77.0,0,183,2011
10,Georgia,61,65.0,7,Washington,264,68.0,0,264,2011
15,Long Island,112358,87.0,2,North Carolina,153,102.0,0,153,2011
16,Hampton,2261,45.0,1,Duke,150,87.0,0,150,2011
9,Tennessee,2633,45.0,8,Michigan,130,75.0,0,130,2011
12,Memphis,235,75.0,5,Arizona,12,77.0,0,12,2011
13,Oakland,2473,81.0,4,Texas,251,85.0,0,251,2011
11,Missouri,142,63.0,6,Cincinnati,2132,78.0,0,2132,2011
14,Bucknell,2083,52.0,3,UConn,41,81.0,0,41,2011
10,Penn State,213,64.0,7,Temple,218,66.0,0,218,2011
15,N Colorado,2458,50.0,2,San Diego St,21,68.0,0,21,2011
16,Boston U,104,53.0,1,Kansas,2305,72.0,0,2305,2011
9,Illinois,356,73.0,8,UNLV,2439,62.0,1,356,2011
12,Richmond,257,69.0,5,Vanderbilt,238,66.0,1,257,2011
13,Morehead St,2413,62.0,4,Louisville,97,61.0,1,2413,2011
11,VCU,2670,74.0,6,Georgetown,46,56.0,1,2670,2011
14,Saint Peter's,2612,43.0,3,Purdue,2509,65.0,0,2509,2011
10,Florida St,52,57.0,7,Texas A&M,245,50.0,1,52,2011
15,Akron,2006,56.0,2,Notre Dame,87,69.0,0,87,2011
16,UNC Asheville,2427,51.0,1,Pitt,221,74.0,0,221,2011
9,Old Dominion,295,58.0,8,Butler,2086,60.0,0,2086,2011
12,Utah State,328,68.0,5,Kansas St,2306,73.0,0,2306,2011
13,Belmont,2057,58.0,4,Wisconsin,275,72.0,0,275,2011
11,Gonzaga,2250,86.0,6,St John's,2599,71.0,1,2250,2011
14,Wofford,2747,66.0,3,BYU,252,74.0,0,252,2011
10,Michigan St,127,76.0,7,UCLA,26,78.0,0,26,2011
15,Santa Barbara,2540,51.0,2,Florida,57,79.0,0,57,2011
8,George Mason,2244,66.0,1,Ohio State,194,98.0,0,194,2011
5,West Virginia,277,63.0,4,Kentucky,96,71.0,0,96,2011
11,Marquette,269,66.0,3,Syracuse,183,62.0,1,269,2011
7,Washington,264,83.0,2,North Carolina,153,86.0,0,153,2011
8,Michigan,130,71.0,1,Duke,150,73.0,0,150,2011
5,Arizona,12,70.0,4,Texas,251,69.0,1,12,2011
6,Cincinnati,2132,58.0,3,UConn,41,69.0,0,41,2011
7,Temple,218,64.0,2,San Diego St,21,71.0,0,21,2011
9,Illinois,356,59.0,1,Kansas,2305,73.0,0,2305,2011
13,Morehead St,2413,48.0,12,Richmond,257,65.0,0,257,2011
