Seed1,Team1,Team1_id,Seed2,Team2,Team2_id,Winner,Winner_id,Year
16,UTSA,2636,1,Ohio State,194,0,194,2011
9,Villanova,222,8,George Mason,2244,0,2244,2011
12,Clemson,228,5,West Virginia,277,0,277,2011
13,Princeton,163,4,Kentucky,96,0,96,2011
11,Marquette,269,6,Xavier,2752,1,269,2011
14,Indiana St,282,3,Syracuse,183,0,183,2011
10,Georgia,61,7,Washington,264,0,264,2011
15,Long Island,112358,2,North Carolina,153,0,153,2011
16,Hampton,2261,1,Duke,150,0,150,2011
9,Tennessee,2633,8,Michigan,130,0,130,2011
12,Memphis,235,5,Arizona,12,0,12,2011
13,Oakland,2473,4,Texas,251,0,251,2011
11,Missouri,142,6,Cincinnati,2132,0,2132,2011
14,Bucknell,2083,3,UConn,41,0,41,2011
10,Penn State,213,7,Temple,218,0,218,2011
15,N Colorado,2458,2,San Diego St,21,0,21,2011
16,Boston U,104,1,Kansas,2305,0,2305,2011
9,Illinois,356,8,UNLV,2439,1,356,2011
12,Richmond,257,5,Vanderbilt,238,1,257,2011
13,Morehead St,2413,4,Louisville,97,1,2413,2011
11,VCU,2670,6,Georgetown,46,1,2670,2011
14,Saint Peter's,2612,3,Purdue,2509,0,2509,2011
10,Florida St,52,7,Texas A&M,245,1,52,2011
15,Akron,2006,2,Notre Dame,87,0,87,2011
16,UNC Asheville,2427,1,Pitt,221,0,221,2011
9,Old Dominion,295,8,Butler,2086,0,2086,2011
12,Utah State,328,5,Kansas St,2306,0,2306,2011
13,Belmont,2057,4,Wisconsin,275,0,275,2011
11,Gonzaga,2250,6,St John's,2599,1,2250,2011
14,Wofford,2747,3,BYU,252,0,252,2011
10,Michigan St,127,7,UCLA,26,0,26,2011
15,Santa Barbara,2540,2,Florida,57,0,57,2011
8,George Mason,2244,1,Ohio State,194,0,194,2011
5,West Virginia,277,4,Kentucky,96,0,96,2011
11,Marquette,269,3,Syracuse,183,1,269,2011
7,Washington,264,2,North Carolina,153,0,153,2011
8,Michigan,130,1,Duke,150,0,150,2011
5,Arizona,12,4,Texas,251,1,12,2011
6,Cincinnati,2132,3,UConn,41,0,41,2011
7,Temple,218,2,San Diego St,21,0,21,2011
9,Illinois,356,1,Kansas,2305,0,2305,2011
13,Morehead St,2413,12,Richmond,257,0,257,2011
11,VCU,2670,3,Purdue,2509,1,2670,2011
10,Florida St,52,2,Notre Dame,87,1,52,2011
8,Butler,2086,1,Pitt,221,1,2086,2011
5,Kansas St,2306,4,Wisconsin,275,0,275,2011
11,Gonzaga,2250,3,BYU,252,0,252,2011
7,UCLA,26,2,Florida,57,0,57,2011
4,Kentucky,96,1,Ohio State,194,1,96,2011
11,Marquette,269,2,North Carolina,153,0,153,2011
5,Arizona,12,1,Duke,150,1,12,2011
3,UConn,41,2,San Diego St,21,1,41,2011
12,Richmond,257,1,Kansas,2305,0,2305,2011
11,VCU,2670,10,Florida St,52,1,2670,2011
8,Butler,2086,4,Wisconsin,275,1,2086,2011
3,BYU,252,2,Florida,57,0,57,2011
4,Kentucky,96,2,North Carolina,153,1,96,2011
5,Arizona,12,3,UConn,41,0,41,2011
11,VCU,2670,1,Kansas,2305,1,2670,2011
8,Butler,2086,2,Florida,57,1,2086,2011
4,Kentucky,96,3,UConn,41,0,41,2011
11,VCU,2670,8,Butler,2086,0,2086,2011
8,Butler,2086,3,UConn,41,0,41,2011
16,Western KY,98,1,Kentucky,96,0,96,2012
9,UConn,41,8,Iowa State,66,0,66,2012
12,VCU,2670,5,Wichita St,2724,1,2670,2012
13,New Mexico St,166,4,Indiana,84,0,84,2012
11,Colorado,38,6,UNLV,2439,1,38,2012
14,S Dakota St,2571,3,Baylor,239,0,239,2012
10,Xavier,2752,7,Notre Dame,87,1,2752,2012
15,Lehigh,2329,2,Duke,150,1,2329,2012
16,Long Island,112358,1,Michigan St,127,0,127,2012
9,Saint Louis,139,8,Memphis,235,1,139,2012
12,Long Beach St,299,5,New Mexico,167,0,167,2012
13,Davidson,2166,4,Louisville,97,0,97,2012
11,Colorado St,36,6,Murray St,93,0,93,2012
14,BYU,252,3,Marquette,269,0,269,2012
10,Virginia,258,7,Florida,57,0,57,2012
15,Norfolk St,2450,2,Missouri,142,1,2450,2012
16,UNC Asheville,2427,1,Syracuse,183,0,183,2012
9,Southern Miss,2572,8,Kansas St,2306,0,2306,2012
12,Harvard,108,5,Vanderbilt,238,0,238,2012
13,Montana,149,4,Wisconsin,275,0,275,2012
11,Texas,251,6,Cincinnati,2132,0,2132,2012
14,St Bonaventure,179,3,Florida St,52,0,52,2012
10,West Virginia,277,7,Gonzaga,2250,0,2250,2012
15,Loyola MD,2352,2,Ohio State,194,0,194,2012
16,Vermont,261,1,North Carolina,153,0,153,2012
9,Alabama,333,8,Creighton,156,0,156,2012
12,South Florida,58,5,Temple,218,1,58,2012
13,Ohio,195,4,Michigan,130,1,195,2012
11,NC State,152,6,San Diego St,21,1,152,2012
14,Belmont,2057,3,Georgetown,46,0,46,2012
10,Purdue,2509,7,Saint Mary's,2608,1,2509,2012
15,Detroit Mercy,2174,2,Kansas,2305,0,2305,2012
8,Iowa State,66,1,Kentucky,96,0,96,2012
12,VCU,2670,4,Indiana,84,0,84,2012
11,Colorado,38,3,Baylor,239,0,239,2012
