Off Eff,Def Eff,Bart,Eff Ofg,Eff Dfg,TurnO,TurnD,RebO,RebD,FT%O,FT%D,2%O,2%D,3%O,3%D,3PRO,3PRD,AdjT,WAB,Team_ID,Year
129.3,91.5,0.9816,57.6,44.0,14.1,18.1,35.8,26.3,31.7,25.9,57.6,42.7,38.5,30.7,45.5,37.7,66.3,7.3,150,2025
125.8,89.3,0.981,52.7,45.3,14.6,22.1,36.9,28.7,26.8,35.6,49.3,43.7,39.6,31.6,33.8,43.4,61.6,8.8,248,2025
131.0,94.6,0.9768,56.1,45.6,13.3,17.4,35.1,30.5,33.9,39.1,56.4,46.3,37.2,29.6,40.8,34.4,68.6,12.3,2,2025
125.7,94.7,0.963,54.4,45.1,15.0,17.6,38.0,28.5,31.6,31.6,55.6,45.7,35.2,29.5,43.3,37.0,69.8,8.3,57,2025
128.5,98.0,0.9576,56.5,47.4,16.9,13.6,35.6,29.7,40.9,33.3,59.8,48.5,35.1,30.1,46.7,35.0,75.1,8.3,333,2025
117.6,90.3,0.9542,52.6,44.1,16.3,18.4,35.7,29.4,32.9,27.9,53.1,45.9,34.7,27.9,43.2,45.3,64.3,7.7,2633,2025
125.3,97.0,0.9497,55.8,47.9,15.4,18.1,34.2,28.4,29.2,33.2,55.0,48.0,37.9,31.9,44.0,34.8,66.2,4.7,2641,2025
122.7,96.5,0.9407,52.6,48.1,16.4,17.2,36.9,27.9,37.1,29.4,55.5,47.1,31.6,32.9,35.3,42.1,70.5,4.1,12,2025
124.0,97.6,0.9402,54.7,48.1,14.4,14.6,28.3,26.5,33.9,26.9,56.6,47.4,35.1,32.9,47.5,38.8,67.9,5.2,275,2025
124.6,98.2,0.9392,56.4,47.6,13.5,17.9,33.2,26.3,30.9,28.8,58.2,49.0,35.3,30.4,34.0,40.9,70.5,1.7,2250,2025
125.7,99.1,0.9391,57.6,50.3,17.7,17.2,33.5,24.6,30.0,29.9,59.2,49.3,37.3,34.4,48.0,44.0,67.5,3.7,252,2025
