G,Date,Away,W/L,Tm,Opp2,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,ORB%,OFT/FGA,DeFG%,DTOV%,DRB%,DFT/FGA,Opp_Team,ID
1,2024-11-04,H,W,87.0,57.0,124.0,81.3,70.2,0.302,0.415,0.718,55.9,62.5,15.7,19.4,0.708,18.8,21.7,0.226,0.448,19.1,78.3,0.086,howard,2305
2,2024-11-08,H,W,92.0,89.0,117.3,113.5,78.4,0.224,0.276,0.547,46.6,48.6,3.8,10.0,0.526,4.5,23.1,0.158,0.484,10.4,76.9,0.444,north-carolina,2305
3,2024-11-12,N,W,77.0,69.0,96.6,86.6,79.7,0.319,0.246,0.485,52.4,60.7,8.8,11.1,0.442,11.2,23.7,0.232,0.37,11.2,76.3,0.261,michigan-state,2305
4,2024-11-16,H,W,78.0,57.0,123.9,90.5,63.0,0.196,0.357,0.637,50.8,75.0,9.5,15.2,0.643,11.6,23.1,0.107,0.491,15.3,76.9,0.055,oakland,2305
5,2024-11-19,H,W,84.0,66.0,115.9,91.0,72.5,0.258,0.403,0.603,52.3,58.8,6.9,8.1,0.597,12.6,18.5,0.161,0.429,15.1,81.5,0.321,north-carolina-wilmington,2305
6,2024-11-26,N,W,75.0,72.0,107.0,102.7,70.1,0.211,0.298,0.598,52.2,78.6,17.1,18.2,0.561,19.3,26.9,0.193,0.615,22.1,73.1,0.271,duke,2305
7,2024-11-30,H,W,86.0,51.0,131.3,77.8,65.5,0.094,0.266,0.643,60.0,64.1,10.7,15.8,0.641,9.5,30.8,0.063,0.377,13.7,69.2,0.14,furman,2305
8,2024-12-04,A,L,63.0,76.0,91.4,110.2,68.9,0.114,0.329,0.427,41.4,48.0,16.0,4.2,0.414,5.1,20.5,0.071,0.585,18.6,79.5,0.264,creighton,2305
9,2024-12-08,A,L,67.0,76.0,89.4,101.4,75.0,0.175,0.365,0.491,54.2,52.0,6.7,12.8,0.46,24.4,37.1,0.143,0.481,14.2,62.9,0.5,missouri,2305
10,2024-12-14,H,W,75.0,60.0,120.1,96.1,62.4,0.132,0.453,0.666,59.6,63.3,8.0,16.7,0.66,17.6,36.4,0.094,0.421,10.9,63.6,0.211,north-carolina-state,2305
11,2024-12-22,H,W,87.0,53.0,120.1,73.1,72.5,0.221,0.324,0.579,56.1,50.0,9.7,23.8,0.559,7.4,29.0,0.162,0.32,9.2,71.0,0.067,brown,2305
12,2024-12-31,H,L,61.0,62.0,100.1,101.8,60.9,0.429,0.327,0.517,50.0,52.6,4.9,0.0,0.429,11.9,22.6,0.388,0.483,8.7,77.4,0.067,west-virginia,2305
13,2025-01-05,A,W,99.0,48.0,119.8,58.1,82.7,0.12,0.277,0.564,67.9,71.4,7.3,31.6,0.56,10.2,45.9,0.072,0.257,14.5,54.1,0.191,central-florida,2305
14,2025-01-08,H,W,74.0,55.0,107.3,79.8,68.9,0.21,0.371,0.543,59.0,55.6,18.9,17.2,0.492,15.0,37.9,0.21,0.415,22.5,62.1,0.208,arizona-state,2305
15,2025-01-11,A,W,54.0,40.0,88.3,65.4,61.2,0.074,0.309,0.384,52.4,50.0,8.2,5.4,0.368,9.0,33.3,0.059,0.331,14.3,66.7,0.017,cincinnati,2305
16,2025-01-15,A,L,57.0,74.0,77.0,99.9,74.1,0.186,0.271,0.444,45.6,66.7,8.1,21.7,0.449,20.9,22.2,0.068,0.475,15.5,77.8,0.305,iowa-state,2305
17,2025-01-18,H,W,84.0,74.0,131.3,115.6,64.0,0.375,0.286,0.637,58.9,51.6,1.6,12.1,0.607,12.0,40.7,0.286,0.508,4.2,59.3,0.237,kansas-state,2305
18,2025-01-22,A,W,74.0,61.0,109.3,90.1,67.7,0.185,0.315,0.63,54.2,70.0,10.3,9.5,0.611,22.4,38.1,0.148,0.417,12.2,61.9,0.091,texas-christian,2305
19,2025-01-25,H,L,86.0,92.0,108.1,115.6,63.7,0.455,0.379,0.536,50.6,66.7,5.0,0.0,0.523,11.1,24.4,0.258,0.534,5.6,75.6,0.192,houston,2305
20,2025-01-28,H,W,91.0,87.0,118.3,113.1,76.9,0.453,0.328,0.585,56.4,50.0,7.8,17.9,0.516,13.4,38.9,0.391,0.48,7.8,61.1,0.2,central-florida,2305
21,2025-02-01,A,L,70.0,81.0,92.5,107.1,75.7,0.333,0.386,0.53,39.1,53.8,7.9,10.5,0.509,17.5,14.7,0.211,0.483,17.4,85.3,0.431,baylor,2305
22,2025-02-03,H,W,69.0,52.0,109.8,82.7,62.9,0.2,0.327,0.573,47.8,65.4,4.8,22.0,0.555,16.6,30.0,0.145,0.331,6.5,70.0,0.177,iowa-state,2305
23,2025-02-08,A,L,73.0,81.0,98.3,109.1,74.3,0.2,0.317,0.556,51.7,73.3,8.1,5.1,0.55,17.6,16.7,0.117,0.583,11.6,83.3,0.061,kansas-state,2305
24,2025-02-11,H,W,71.0,59.0,109.1,90.6,65.1,0.276,0.362,0.541,56.7,66.7,9.2,11.8,0.517,9.6,26.7,0.19,0.421,11.0,73.3,0.193,colorado,2305
25,2025-02-15,A,L,67.0,74.0,95.9,105.9,69.9,0.364,0.436,0.519,41.7,68.2,5.7,17.2,0.482,13.4,12.5,0.255,0.452,8.4,87.5,0.27,utah,2305
26,2025-02-18,A,L,57.0,91.0,77.5,123.7,73.5,0.079,0.508,0.436,42.0,60.9,5.4,10.0,0.437,18.7,16.2,0.032,0.621,12.2,83.8,0.136,brigham-young,2305
27,2025-02-22,H,W,96.0,64.0,121.7,81.1,78.9,0.11,0.411,0.625,63.8,60.5,19.0,20.0,0.616,19.0,46.9,0.082,0.433,19.8,53.1,0.2,oklahoma-state,2305
28,2025-02-24,A,W,71.0,64.0,97.2,87.6,73.0,0.528,0.245,0.535,41.9,61.5,11.0,15.9,0.519,10.8,13.8,0.302,0.419,16.1,86.2,0.103,colorado,2305
1,2024-11-06,H,W,94.0,43.0,133.9,61.2,70.2,0.172,0.547,0.679,62.7,41.7,14.2,20.0,0.688,11.5,30.4,0.094,0.302,19.2,69.6,0.138,vermont,2
