year,teamId,BPI,BPIo,BPId,T50,SOS,NC_SOS
2025,2670,13.6,5.5,8.1,0.0,106,207
2025,2603,8.1,3.4,4.7,0.5,99,132
2025,2244,7.6,0.5,7.1,0.0,115,248
2025,2168,7.4,5.2,2.2,0.42857142857142855,88,43
2025,2350,4.0,0.4,3.6,0.0,117,344
2025,139,3.7,1.5,2.3,0.5,95,202
2025,179,3.5,0.1,3.5,0.3333333333333333,110,242
2025,45,2.9,0.4,2.5,0.0,147,360
2025,2184,2.4,-0.5,2.9,0.0,104,219
2025,2166,1.5,1.6,-0.1,0.0,111,249
2025,227,1.5,1.3,0.2,0.0,109,303
2025,113,-0.5,-2.2,1.7,0.0,103,194
2025,2325,-1.4,-1.8,0.3,0.0,100,150
2025,2230,-3.4,-2.0,-1.4,0.0,102,206
2025,257,-3.8,-2.9,-1.0,0.0,105,290
2025,150,25.2,13.8,11.4,0.6666666666666666,46,17
2025,228,16.5,9.0,7.6,0.5714285714285714,56,36
2025,153,14.3,8.8,5.4,0.2,29,8
2025,97,13.9,6.7,7.2,0.4444444444444444,38,24
2025,2567,11.3,7.2,4.1,0.0,75,156
2025,221,10.5,6.3,4.2,0.2727272727272727,43,35
2025,154,8.4,2.2,6.2,0.3,63,95
2025,52,6.4,1.7,4.7,0.0,71,146
2025,87,6.4,3.5,2.9,0.0,66,81
2025,24,6.1,3.0,3.1,0.3333333333333333,81,227
2025,59,5.8,1.5,4.3,0.2,80,232
2025,152,5.8,2.5,3.3,0.0,73,168
2025,258,5.2,1.7,3.4,0.08333333333333333,61,64
2025,183,5.1,3.5,1.6,0.0,50,37
2025,25,3.7,2.7,0.9,0.0,77,149
2025,259,2.2,1.2,0.9,0.0,70,101
2025,2390,2.1,5.0,-2.9,0.0,67,135
2025,103,0.1,-0.4,0.5,0.14285714285714285,79,259
2025,288,3.8,2.3,1.5,0.0,315,190
2025,2453,0.0,1.6,-1.6,0.0,338,320
2025,526,-1.3,0.1,-1.4,0.0,255,61
2025,294,-3.6,-4.3,0.7,0.0,260,80
2025,2198,-3.7,-0.4,-3.3,0.0,254,107
2025,2511,-4.2,-2.2,-2.0,0.0,280,165
2025,2454,-6.8,-0.0,-6.7,0.0,228,66
2025,2046,-7.4,-3.7,-3.6,0.0,214,83
2025,2698,-12.0,-7.4,-4.6,0.0,216,87
2025,91,-12.6,-3.7,-8.9,0.0,289,233
2025,2110,-13.2,-7.2,-6.0,0.0,238,153
2025,56,-14.4,-6.0,-8.4,0.0,294,220
2025,2803,0.9,-0.3,1.2,0.0,281,177
2025,261,-1.0,-3.0,2.1,0.0,284,195
2025,311,-1.6,-3.6,2.1,0.0,307,262
2025,2349,-1.6,0.5,-2.1,0.0,324,302
2025,399,-4.6,-2.1,-2.5,0.0,308,289
2025,2378,-6.5,-0.9,-5.6,0.0,319,323
2025,2066,-8.9,-5.5,-3.4,0.0,321,333
2025,2885,-12.4,-8.0,-4.4,0.0,241,192
2025,160,-13.5,-9.1,-4.5,0.0,268,236
2025,235,11.8,5.1,6.7,0.7142857142857143,64,2
2025,249,7.6,2.1,5.5,0.0,107,145
2025,5,4.7,6.3,-1.6,0.0,150,345
2025,2226,4.5,3.7,0.8,0.0,94,46
2025,2724,2.4,0.2,2.2,0.3333333333333333,101,92
2025,218,0.9,2.2,-1.2,0.3333333333333333,112,151
2025,58,0.5,-1.0,1.6,0.0,122,264
2025,2655,0.5,-0.6,1.1,0.0,181,349
2025,151,0.4,0.7,-0.2,0.0,155,342
2025,242,-1.5,-0.5,-1.0,0.0,151,353
2025,2636,-1.7,0.0,-1.7,0.0,120,225
2025,2429,-3.7,-0.7,-3.0,0.0,127,257
2025,202,-5.0,-3.8,-1.2,0.0,163,356
2025,248,23.8,10.8,13.0,0.7692307692307693,9,39
2025,66,18.3,7.7,10.6,0.5,32,114
