Team,AdjEM,AdjO,AdjD,AdjT,Luck,SoS,OppO,OppD,NSoS,Year,Team_ID,Match_Name
Duke,39.38,129.2,89.8,66.3,-0.043,9.12,112.9,103.7,9.77,2025,150,Duke 
Auburn,36.49,130.8,94.3,68.4,0.057,18.78,117.6,98.8,11.04,2025,2,Auburn
Houston,35.06,124.3,89.3,61.4,-0.001,13.06,113.5,100.4,2.98,2025,248,Houston
Florida,34.28,127.2,92.9,69.7,0.004,13.18,114.2,101.0,-1.24,2025,57,Florida
Tennessee,31.15,119.3,88.1,64.0,0.012,15.43,117.0,101.6,-0.32,2025,2633,Tennessee
Alabama,29.26,127.4,98.1,75.2,0.014,18.77,118.2,99.4,12.61,2025,333,Alabama 
Texas Tech,27.56,124.8,97.3,66.0,-0.045,10.57,111.8,101.2,-4.18,2025,2641,Texas Tech 
Gonzaga,27.26,125.2,97.9,70.5,-0.092,6.99,111.6,104.6,9.76,2025,2250,Gonzaga
Michigan St.,26.97,118.6,91.6,68.0,0.005,12.97,114.7,101.7,0.75,2025,127,Michigan State
Wisconsin,26.68,123.9,97.2,67.9,-0.037,13.3,114.7,101.4,0.55,2025,275,Wisconsin
Iowa St.,25.95,118.8,92.8,69.0,-0.038,12.21,113.8,101.6,-0.89,2025,66,Iowa State
Purdue,25.35,124.9,99.5,65.4,-0.008,15.6,116.1,100.5,11.01,2025,2509,Purdue
Maryland,25.29,118.1,92.8,70.1,-0.025,10.53,113.6,103.1,-10.02,2025,120,Maryland
Arizona,25.2,121.7,96.5,70.5,-0.046,15.16,115.3,100.2,6.15,2025,12,Arizona
Kentucky,24.96,125.2,100.3,71.1,-0.02,17.44,116.9,99.5,4.7,2025,96,Kentucky
Missouri,24.96,126.4,101.4,68.4,-0.039,12.03,113.4,101.3,-8.8,2025,142,Missouri
St. John's,24.71,113.8,89.1,70.2,-0.026,8.47,111.9,103.4,0.31,2025,2599,St. John's 
Clemson,24.34,121.0,96.7,64.3,-0.026,8.52,112.4,103.8,4.28,2025,228,Clemson
Illinois,24.3,121.8,97.5,71.7,-0.035,16.02,115.4,99.3,3.89,2025,356,Illinois 
Texas A&M,24.13,117.0,92.9,66.6,0.015,16.82,116.5,99.7,7.7,2025,245,Texas A&M
